0.5646411602900725 2258
Index,Python,TestBench
1048,01110111,01100001

1049,01110111,01100001

1050,01100001,01110111

1051,10000001,01111111

1052,11000011,01100011

1053,01100011,11000011

1054,01111111,10000001

1055,01100101,11001001

1056,11001001,01100101

1057,10000001,01111111

1058,11001001,01100101

1059,01100101,11001001

1060,01111111,10000001

1061,01100011,11000011

1062,11000011,01100011

1063,01011111,01110001

1064,01110001,01011111

1065,01110011,01100101

1066,01100101,01110011

1067,10000001,01111111

1068,10110101,01000011

1069,01000011,10110101

1070,01111111,10000001

1071,01000101,10111011

1072,10111011,01000101

1073,10000001,01111111

1074,10111101,01001011

1075,01001011,10111101

1076,10011001,10000111

1077,10000111,10011001

1078,10000111,10011001

1079,10011001,10000111

1080,01111111,10000001

1081,01001001,10110111

1082,10110111,01001001

1083,01100101,01110011

1084,01110011,01100101

1085,01110001,01011111

1086,01011111,01110001

1087,10000001,01111111

1088,11000101,01101001

1089,01101001,11000101

1090,01111111,10000001

1091,01010111,10101001

1092,10101001,01010111

1093,10000001,01111111

1094,10010111,00111011

1095,00111011,10010111

1096,10100001,10001111

1097,10001111,10100001

1098,10001111,10100001

1099,10100001,10001111

1100,01111111,10000001

1101,00111101,10011101

1102,10011101,00111101

1103,10000001,01111111

1104,10011011,00110111

1105,00110111,10011011

1106,01111111,10000001

1107,00110111,10011011

1108,10011011,00110111

1109,10000001,01111111

1110,10011011,00110111

1111,00110111,10011011

1112,10101101,10101001

1113,10101001,10101101

1114,01111111,10000001

1115,01000101,10111011

1116,10111011,01000101

1117,10000001,01111111

1118,10111011,01000101

1119,01000101,10111011

1120,10101001,10101101

1121,10101101,10101001

1122,01111111,10000001

1123,00110101,10010101

1124,10010101,00110101

1125,10000001,01111111

1126,10101001,01010111

1127,01010111,10101001

1128,01111111,10000001

1129,01101001,11000101

1130,11000101,01101001

1131,01011111,01110001

1132,01110001,01011111

1133,01110011,01100101

1134,01100101,01110011

1135,10000001,01111111

1136,10110111,01001001

1137,01001001,10110111

1138,10011001,10000111

1139,10000111,10011001

1140,10001001,10011111

1141,10011111,10001001

1142,01111111,10000001

1143,00111101,10011101

1144,10011101,00111101

1145,10000001,01111111

1146,10011101,00111101

1147,00111101,10011101

1148,10100001,10001111

1149,10001111,10100001

1150,10001101,10011011

1151,10011011,10001101

1152,01111111,10000001

1153,01001001,10110111

1154,10110111,01001001

1155,01100101,01110011

1156,01110011,01100101

1157,01110011,01100101

1158,01100101,01110011

1159,10000001,01111111

1160,10110111,01001001

1161,01001001,10110111

1162,10011011,10001101

1163,10001101,10011011

