0.5643910977744436 2257
Index,Python,TestBench
976,10101101,10101001

977,10101001,10101101

978,01111111,10000001

979,01000011,10110101

980,10110101,01000011

981,01100111,01111001

982,01111001,01100111

983,01110111,01100001

984,01100001,01110111

985,10000001,01111111

986,11000101,01101001

987,01101001,11000101

988,01111111,10000001

989,01010101,10100011

990,10100011,01010101

991,10000001,01111111

992,10100101,01011011

993,01011011,10100101

994,01111111,10000001

995,01011011,10100101

996,10100101,01011011

997,10000001,01111111

998,10100011,01010101

999,01010101,10100011

1000,01111111,10000001

1001,01101011,11001011

1002,11001011,01101011

1003,10000001,01111111

1004,11001001,01100101

1005,01100101,11001001

1006,01111111,10000001

1007,01100011,11000011

1008,11000011,01100011

1009,01100001,01110111

1010,01110111,01100001

1011,01111001,01100111

1012,01100111,01111001

1013,10000001,01111111

1014,10110111,01001001

1015,01001001,10110111

1016,10011001,10000111

1017,10000111,10011001

1018,10000111,10011001

1019,10011001,10000111

1020,01111111,10000001

1021,01001001,10110111

1022,10110111,01001001

1023,01100111,01111001

1024,01111001,01100111

1025,01111001,01100111

1026,01100111,01111001

1027,10000001,01111111

1028,10110101,01000011

1029,01000011,10110101

1030,10101001,10101101

1031,10101101,10101001

1032,01111111,10000001

1033,00110111,10011011

1034,10011011,00110111

1035,10000001,01111111

1036,10011011,00110111

1037,00110111,10011011

1038,01111111,10000001

1039,00110101,10010101

1040,10010101,00110101

1041,10000001,01111111

1042,10101011,01011101

1043,01011101,10101011

1044,01111111,10000001

1045,01011011,10100101

1046,10100101,01011011

1047,10000001,01111111

1048,10100101,01011011

1049,01011011,10100101

1050,01111111,10000001

1051,01011101,10101011

1052,10101011,01011101

1053,10000001,01111111

1054,10010111,00111011

1055,00111011,10010111

1056,10011111,10001001

1057,10001001,10011111

1058,10000111,10011001

1059,10011001,10000111

1060,01111111,10000001

1061,01001001,10110111

1062,10110111,01001001

1063,01100111,01111001

1064,01111001,01100111

1065,01110111,01100001

1066,01100001,01110111

1067,10000001,01111111

1068,11000011,01100011

1069,01100011,11000011

1070,01111111,10000001

1071,01100101,11001001

1072,11001001,01100101

1073,01010011,01010111

1074,01010111,01010011

1075,10000001,01111111

1076,10111011,01000101

1077,01000101,10111011

1078,01111111,10000001

1079,01000011,10110101

1080,10110101,01000011

1081,01100111,01111001

1082,01111001,01100111

1083,01110111,01100001

1084,01100001,01110111

1085,10000001,01111111

1086,11000011,01100011

1087,01100011,11000011

1088,01111111,10000001

1089,01100011,11000011

1090,11000011,01100011

1091,01100001,01110111

1092,01110111,01100001

1093,01110111,01100001

1094,01100001,01110111

1095,10000001,01111111

1096,11000011,01100011

1097,01100011,11000011

1098,01111111,10000001

1099,01100011,11000011

1100,11000011,01100011

1101,01011111,01110001

1102,01110001,01011111

1103,10000101,10000001

1104,10000001,10000101

1105,10000001,10000101

1106,10000101,10000001

1107,01110001,01011111

1108,01011111,01110001

1109,10000001,01111111

1110,11000011,01100011

1111,01100011,11000011

1112,01111111,10000001

1113,01100011,11000011

1114,11000011,01100011

1115,01011111,01110001

1116,01110001,01011111

1117,01110001,01011111

1118,01011111,01110001

1119,10000001,01111111

1120,11000011,01100011

1121,01100011,11000011

1122,01111111,10000001

1123,01100011,11000011

1124,11000011,01100011

1125,01100001,01110111

1126,01110111,01100001

1127,01111001,01100111

1128,01100111,01111001

1129,10000001,01111111

1130,10110101,01000011

1131,01000011,10110101

1132,01111111,10000001

1133,01000011,10110101

1134,10110101,01000011

1135,01100101,01110011

1136,01110011,01100101

1137,01110001,01011111

1138,01011111,01110001

1139,10000001,01111111

1140,11000011,01100011

1141,01100011,11000011

1142,01111111,10000001

1143,01100101,11001001

1144,11001001,01100101

1145,01010011,01010111

